amount,method,bank,hour,day_of_week,prior_retries,is_new_customer,error_code,reason,bucket,retry_success
639,Netbanking,Yes Bank,2,4,0,0,GATEWAY_ERROR,issuer_unavailable,timeout,1
4356,Wallet,Axis Bank,18,4,1,0,BAD_REQUEST_ERROR,insufficient_funds,funds,1
1719,Netbanking,Yes Bank,16,2,3,0,BAD_REQUEST_ERROR,insufficient_funds,funds,0
2731,Card,HDFC Bank,22,5,3,1,BAD_REQUEST_ERROR,invalid_cvv,invalid,1
780,UPI,HDFC Bank,13,4,0,0,BAD_REQUEST_ERROR,invalid_cvv,invalid,0
2031,UPI,Yes Bank,5,4,0,1,BAD_REQUEST_ERROR,user_cancelled,funds,0
1313,Card,Axis Bank,13,0,0,0,BAD_REQUEST_ERROR,insufficient_funds,funds,0
2127,Card,HDFC Bank,13,5,0,0,GATEWAY_ERROR,internal_error,timeout,0
582,UPI,Yes Bank,6,6,1,0,BAD_REQUEST_ERROR,otp_timeout,dropoff,1
2854,UPI,SBI,0,0,1,0,BAD_REQUEST_ERROR,otp_timeout,dropoff,1
2825,Card,ICICI Bank,9,1,1,0,GATEWAY_ERROR,issuer_unavailable,timeout,0
2696,Card,Axis Bank,6,5,1,0,BAD_REQUEST_ERROR,otp_timeout,dropoff,1
1288,Card,Kotak Mahindra,4,5,1,1,GATEWAY_ERROR,issuer_risk_block,risk,0
2281,Card,HDFC Bank,14,0,0,0,BAD_REQUEST_ERROR,otp_timeout,decline,1
7811,Card,ICICI Bank,19,1,2,0,BAD_REQUEST_ERROR,invalid_expiry,invalid,1
654,Netbanking,IDFC First,1,0,0,0,GATEWAY_ERROR,internal_error,timeout,1
801,Card,ICICI Bank,20,3,0,0,BAD_REQUEST_ERROR,insufficient_funds,funds,0
1111,UPI,HDFC Bank,5,4,1,0,BAD_REQUEST_ERROR,otp_timeout,dropoff,1
875,UPI,HDFC Bank,7,5,1,1,BAD_REQUEST_ERROR,otp_timeout,dropoff,1
939,UPI,ICICI Bank,12,0,0,0,GATEWAY_ERROR,issuer_risk_block,risk,0
2406,UPI,IDFC First,0,5,1,0,BAD_REQUEST_ERROR,otp_timeout,dropoff,1
460,UPI,IDFC First,1,5,0,1,GATEWAY_ERROR,issuer_unavailable,timeout,1
1218,Card,Yes Bank,10,1,0,1,GATEWAY_ERROR,issuer_risk_block,risk,0
778,Card,Axis Bank,10,1,1,0,BAD_REQUEST_ERROR,otp_timeout,dropoff,1
1114,UPI,IDFC First,3,3,1,0,BAD_REQUEST_ERROR,invalid_expiry,invalid,1
2157,UPI,Axis Bank,17,0,0,0,BAD_REQUEST_ERROR,invalid_expiry,invalid,0
1001,UPI,Axis Bank,15,0,1,0,BAD_REQUEST_ERROR,user_cancelled,dropoff,1
16498,UPI,IDFC First,2,2,0,0,GATEWAY_ERROR,issuer_risk_block,risk,0
603,Netbanking,ICICI Bank,23,0,0,0,BAD_REQUEST_ERROR,otp_timeout,dropoff,1
3933,UPI,ICICI Bank,3,1,0,1,GATEWAY_ERROR,issuer_risk_block,funds,1
2897,Card,Yes Bank,9,5,0,0,GATEWAY_ERROR,issuer_unavailable,timeout,1
30154,UPI,Kotak Mahindra,13,6,0,0,BAD_REQUEST_ERROR,otp_timeout,dropoff,0
2351,Wallet,Kotak Mahindra,2,5,2,0,BAD_REQUEST_ERROR,user_cancelled,dropoff,0
1349,UPI,Yes Bank,12,2,2,0,BAD_REQUEST_ERROR,insufficient_funds,funds,0
1246,Card,ICICI Bank,10,4,0,0,BAD_REQUEST_ERROR,invalid_cvv,invalid,0
1294,Wallet,Kotak Mahindra,21,5,0,0,BAD_REQUEST_ERROR,otp_timeout,dropoff,0
1344,Card,HDFC Bank,6,1,0,0,BAD_REQUEST_ERROR,invalid_cvv,invalid,0
3830,Card,Kotak Mahindra,2,3,0,0,BAD_REQUEST_ERROR,issuer_general_decline,decline,0
898,Wallet,HDFC Bank,6,5,0,0,GATEWAY_ERROR,issuer_risk_block,risk,0
182,Card,Yes Bank,18,6,0,0,BAD_REQUEST_ERROR,invalid_expiry,invalid,1
7910,Card,Yes Bank,10,6,1,1,BAD_REQUEST_ERROR,insufficient_funds,funds,0
762,UPI,SBI,3,6,2,0,BAD_REQUEST_ERROR,issuer_general_decline,decline,0
794,Netbanking,Kotak Mahindra,11,0,3,0,GATEWAY_ERROR,internal_error,timeout,0
1472,UPI,Axis Bank,14,0,0,0,BAD_REQUEST_ERROR,user_cancelled,dropoff,1
817,UPI,Axis Bank,22,5,0,0,BAD_REQUEST_ERROR,issuer_general_decline,decline,0
3648,Wallet,HDFC Bank,15,0,0,0,BAD_REQUEST_ERROR,insufficient_funds,decline,1
4107,Wallet,Yes Bank,6,4,0,1,BAD_REQUEST_ERROR,insufficient_funds,funds,0
175,UPI,Kotak Mahindra,19,6,1,0,BAD_REQUEST_ERROR,invalid_expiry,invalid,1
1639,Card,Axis Bank,15,0,0,0,GATEWAY_ERROR,issuer_risk_block,risk,0
10104,Card,Axis Bank,1,0,0,0,BAD_REQUEST_ERROR,insufficient_funds,funds,1
1060,Wallet,Kotak Mahindra,11,3,1,0,BAD_REQUEST_ERROR,invalid_expiry,invalid,1
412,Card,ICICI Bank,15,3,0,0,BAD_REQUEST_ERROR,insufficient_funds,funds,1
1937,UPI,HDFC Bank,7,4,1,0,GATEWAY_ERROR,issuer_risk_block,risk,0
227,UPI,IDFC First,0,2,0,1,BAD_REQUEST_ERROR,user_cancelled,dropoff,0
1360,Card,Kotak Mahindra,7,1,0,0,BAD_REQUEST_ERROR,user_cancelled,dropoff,1
7579,Netbanking,HDFC Bank,22,5,0,0,BAD_REQUEST_ERROR,insufficient_funds,funds,0
3335,UPI,IDFC First,20,5,0,1,BAD_REQUEST_ERROR,invalid_cvv,invalid,0
1292,Netbanking,Kotak Mahindra,20,2,0,0,GATEWAY_ERROR,issuer_unavailable,timeout,0
20341,Netbanking,SBI,7,5,1,0,BAD_REQUEST_ERROR,user_cancelled,dropoff,1
2552,UPI,Kotak Mahindra,3,2,3,0,BAD_REQUEST_ERROR,issuer_general_decline,decline,1
7360,UPI,SBI,1,5,0,0,BAD_REQUEST_ERROR,insufficient_funds,funds,0
2842,UPI,ICICI Bank,7,1,1,0,BAD_REQUEST_ERROR,issuer_general_decline,decline,0
2316,Card,SBI,16,5,0,0,BAD_REQUEST_ERROR,invalid_cvv,invalid,0
3154,Netbanking,Kotak Mahindra,20,2,2,0,BAD_REQUEST_ERROR,issuer_general_decline,decline,0
1081,UPI,HDFC Bank,9,6,1,1,BAD_REQUEST_ERROR,invalid_cvv,invalid,1
941,Card,SBI,7,0,0,1,GATEWAY_ERROR,issuer_risk_block,risk,0
6878,Card,IDFC First,18,4,1,0,BAD_REQUEST_ERROR,invalid_expiry,invalid,1
13323,Card,Kotak Mahindra,13,6,3,0,GATEWAY_ERROR,issuer_risk_block,risk,0
1183,UPI,SBI,0,3,0,0,BAD_REQUEST_ERROR,invalid_expiry,invalid,1
1014,UPI,ICICI Bank,13,3,2,0,BAD_REQUEST_ERROR,issuer_general_decline,funds,1
2287,Card,HDFC Bank,15,5,2,0,BAD_REQUEST_ERROR,user_cancelled,dropoff,1
1163,UPI,Kotak Mahindra,22,3,1,1,GATEWAY_ERROR,issuer_unavailable,timeout,1
161,UPI,ICICI Bank,18,5,0,0,BAD_REQUEST_ERROR,otp_timeout,dropoff,0
3227,UPI,ICICI Bank,10,5,1,0,BAD_REQUEST_ERROR,insufficient_funds,funds,1
320,UPI,Kotak Mahindra,11,6,0,1,GATEWAY_ERROR,internal_error,timeout,1
758,Card,HDFC Bank,21,2,0,0,BAD_REQUEST_ERROR,invalid_cvv,invalid,1
328,UPI,IDFC First,21,6,0,0,BAD_REQUEST_ERROR,user_cancelled,dropoff,1
4170,UPI,ICICI Bank,8,6,0,0,BAD_REQUEST_ERROR,insufficient_funds,funds,0
6321,Card,Axis Bank,6,5,2,0,BAD_REQUEST_ERROR,insufficient_funds,funds,1
